,Antigua and Barbuda,Bahamas,Barbados,Costa Rica,Cuba,Dominican Republic,El Salvador,French Guiana,St Martin,Guatemala,Guyana,Haiti,Honduras,Jamaica,Aruba,Curacao,Sint Maarten,Nicaragua,Panama,Saint Lucia,Trinidad and Tobago,Cayman Islands
6/2/20,26,102,92,1105,2092,17752,2653,517,41,5586,153,2124,5527,590,101,20,77,1118,14095,18,117,151
6/3/20,26,102,92,1157,2107,18040,2705,533,41,5760,153,2226,5690,591,101,21,77,1118,14609,18,117,156
6/4/20,26,102,92,1194,2119,18319,2781,556,41,6154,153,2507,5880,591,101,21,77,1118,15044,19,117,160
6/5/20,26,102,92,1228,2133,18708,2849,589,41,6485,153,2604,5971,595,101,21,77,1118,15463,19,117,164
6/6/20,26,103,92,1263,2173,19195,2934,639,41,6792,154,2640,6155,596,101,21,77,1118,16004,19,117,164
6/7/20,26,103,92,1318,2191,19600,3015,689,41,7055,154,2924,6327,598,101,21,77,1118,16425,19,117,164
6/8/20,26,103,92,1342,2200,20126,3104,729,41,7502,154,3072,6450,599,101,21,77,1118,16854,19,117,171
6/9/20,26,103,92,1375,2205,20415,3191,773,41,7866,156,3334,6935,605,101,21,77,1464,17233,19,117,176
6/10/20,26,103,96,1461,2211,20808,3274,865,41,8221,156,3538,7360,605,101,22,77,1464,17889,19,117,180
6/11/20,26,103,96,1538,2219,21437,3373,917,41,8561,158,3662,7669,611,101,22,77,1464,18586,19,117,186
6/12/20,26,103,96,1612,2233,22008,3481,1043,42,8982,159,3796,8132,614,101,22,77,1464,19211,19,117,187
6/13/20,26,103,96,1662,2238,22572,3603,1161,42,9491,159,3941,8455,615,101,22,77,1464,20059,19,117,187
6/14/20,26,103,96,1715,2248,22962,3720,1255,42,9845,159,3941,8858,617,101,22,77,1464,21418,19,123,187
6/15/20,26,103,97,1744,2262,23271,3826,1326,42,10272,159,4165,9178,621,101,22,77,1464,21422,19,123,187
6/16/20,26,104,97,1796,2273,23686,3941,1421,42,10706,171,4309,9656,621,101,23,77,1823,21962,19,123,193
6/17/20,26,104,97,1871,2280,24105,4066,1554,42,11251,171,4441,10299,626,101,23,77,1823,22597,19,123,193
6/18/20,26,104,97,1939,2295,24645,4200,1758,42,11868,183,4547,10739,638,101,23,77,1823,23351,19,123,193
6/19/20,26,104,97,2058,2305,25068,4329,1969,42,12509,183,4688,11258,652,101,23,77,1823,24274,19,123,195
6/20/20,26,104,97,2127,2309,25778,4475,2163,42,12755,183,4916,12306,657,101,23,77,1823,25222,19,123,195
6/21/20,26,104,97,2213,2312,26677,4626,2441,42,13145,184,4980,12769,659,101,23,77,1823,26030,19,123,195
6/22/20,26,104,97,2277,2315,27370,4808,2458,42,13769,205,5077,13356,665,101,23,77,1823,26752,19,123,195
6/23/20,26,104,97,2368,2318,27936,4973,2593,42,14540,206,5211,13943,670,101,23,77,2170,27314,19,123,195
6/24/20,26,104,97,2515,2319,28631,5150,2827,42,14819,209,5216,14571,678,101,23,77,2170,28030,19,123,196
6/25/20,65,104,97,2684,2321,29141,5336,3033,42,15619,215,5324,15366,684,101,23,77,2170,29037,19,123,196
6/26/20,65,104,97,2836,2325,29764,5517,3270,42,15828,215,5429,15994,686,101,23,77,2170,29905,19,124,196
6/27/20,65,104,97,2979,2330,30619,5727,3461,42,16397,230,5543,17007,690,101,23,77,2170,30658,19,126,196
6/28/20,69,104,97,3130,2332,31373,5934,3461,43,16930,230,5722,18082,696,101,23,77,2170,31686,19,126,196
6/29/20,69,104,97,3269,2340,31816,6173,3774,43,17409,235,5722,18818,698,103,23,77,2170,32785,19,126,199
6/30/20,69,104,97,3459,2341,32568,6438,4004,43,18096,245,5847,19558,702,103,23,77,2519,33550,19,130,200
7/1/20,69,104,97,3753,2348,33387,6736,4268,43,19011,248,5933,20262,707,103,23,77,2519,34463,19,130,201
7/2/20,69,104,97,4023,2353,34197,7000,4444,43,20072,250,5975,21120,715,104,23,77,2519,35237,19,130,201
7/3/20,68,104,97,4311,2361,35148,7267,4558,43,21293,256,6040,22116,721,104,23,77,2519,35995,22,130,201
7/4/20,68,104,97,4621,2369,36184,7507,4913,43,22501,272,6101,22921,728,105,23,78,2519,36983,22,130,201
7/5/20,68,104,98,4996,2372,37425,7777,4913,43,23248,273,6230,23943,732,105,23,78,2519,38149,22,133,201
7/6/20,70,104,98,5241,2380,38128,8027,5054,43,23972,273,6294,24665,737,105,23,78,2519,39334,22,133,201
7/7/20,70,104,98,5486,2395,38430,8307,5178,43,24787,284,6333,25428,745,105,23,78,2846,40291,22,133,201
7/8/20,70,106,98,5836,2399,39588,8566,5459,43,25411,284,6371,25978,751,105,23,78,2846,41251,22,133,201
7/9/20,73,107,98,6485,2403,40790,8844,5558,43,26658,286,6432,26384,753,105,25,78,2846,42216,22,133,201
7/10/20,74,108,98,6845,2413,41915,9142,5704,43,27619,290,6486,27053,753,105,25,78,2846,43257,22,133,201
