,Costa Rica,US,Italy,Spain,Germany,China,Brazil,"Korea, South",France,Uruguay
3/15/20,0,12,2335,517,46,67017,0,510,12,0
3/16/20,0,17,2749,530,67,67910,1,1137,12,0
3/17/20,0,17,2941,1028,67,68798,2,1407,12,0
3/18/20,0,105,4025,1081,105,69755,2,1540,12,0
3/19/20,0,121,4440,1107,113,70535,2,1540,12,0
3/20/20,0,147,4440,1588,180,71266,2,1540,12,0
3/21/20,2,176,6072,2125,233,71857,2,1540,12,0
3/22/20,2,178,7024,2575,266,72362,2,2909,2206,0
3/23/20,2,178,7024,2575,266,72814,2,2909,2206,0
3/24/20,2,348,8326,3794,3243,73280,2,3507,3250,0
3/25/20,2,361,9362,5367,3547,73773,2,3730,3907,0
3/26/20,2,681,10361,7015,5673,74181,6,4144,4955,0
3/27/20,3,869,10950,9357,6658,74720,6,4528,5707,0
3/28/20,3,1072,12384,12285,8481,75100,6,4811,5724,0
3/29/20,3,2665,13030,14709,9211,75582,6,5033,7226,0
3/30/20,4,5644,14620,16780,13500,75923,120,5228,7964,0
3/31/20,4,7024,15729,19259,16100,76206,127,5408,9513,41
4/1/20,4,8474,16847,22647,18700,76405,127,5567,11053,62
