,Costa Rica,Panama,Guatemala,Nicaragua,El Salvador,Honduras,Dominican Republic,Jamaica,Trinidad and Tobago,Cuba
3/24/20,1.120253164556962,1.0,1.05,1.0,1.6666666666666667,1.0,1.273469387755102,1.105263157894737,1.1176470588235294,1.2
3/25/20,1.1355932203389831,1.2840579710144928,1.1428571428571428,1.0,1.8,1.2,1.2564102564102564,1.2380952380952381,1.0526315789473684,1.1875
3/26/20,1.1492537313432836,1.2595936794582392,1.0416666666666667,1.0,1.4444444444444444,1.4444444444444444,1.2448979591836735,1.0,1.0833333333333333,1.1754385964912282
3/27/20,1.1385281385281385,1.2078853046594982,1.12,1.0,1.0,1.3076923076923077,1.1905737704918034,1.0,1.0153846153846153,1.1940298507462686
3/28/20,1.1216730038022813,1.1661721068249258,1.2142857142857142,2.0,1.4615384615384615,1.3970588235294117,1.2375215146299483,1.1538461538461537,1.121212121212121,1.4875
3/29/20,1.064406779661017,1.1463104325699744,1.0,1.0,1.263157894736842,1.1578947368421053,1.1947148817802504,1.0666666666666667,1.054054054054054,1.1680672268907564
3/30/20,1.0509554140127388,1.097669256381798,1.0588235294117647,1.0,1.25,1.2636363636363637,1.048894062863795,1.125,1.0512820512820513,1.223021582733813
3/31/20,1.0515151515151515,1.1941354903943378,1.0555555555555556,1.25,1.0666666666666667,1.014388489208633,1.2308546059933407,1.0,1.0609756097560976,1.0941176470588236
4/1/20,1.080691642651297,1.0,1.0263157894736843,1.0,1.0,1.2198581560283688,1.157799819657349,1.2222222222222223,1.0344827586206897,1.1397849462365592
4/2/20,1.056,1.1151566469093988,1.205128205128205,1.0,1.28125,1.2732558139534884,1.074766355140187,1.0681818181818181,1.0444444444444445,1.099056603773585
4/3/20,1.0505050505050506,1.119969627942293,1.0638297872340425,1.0,1.1219512195121952,1.0136986301369864,1.0782608695652174,1.0,1.0425531914893618,1.1545064377682404
4/4/20,1.0456730769230769,1.1342372881355933,1.22,1.0,1.2173913043478262,1.1891891891891893,1.0,1.127659574468085,1.0510204081632653,1.070631970260223
4/5/20,1.0436781609195402,1.0765092647937837,1.0,1.2,1.1071428571428572,1.0151515151515151,1.1727150537634408,1.0943396226415094,1.0097087378640777,1.1111111111111112
4/6/20,1.02863436123348,1.1038312048861743,1.1475409836065573,1.0,1.1129032258064515,1.1119402985074627,1.04756446991404,1.0,1.0096153846153846,1.09375
4/7/20,1.0342612419700214,1.056338028169014,1.1,1.0,1.1304347826086956,1.023489932885906,1.0700218818380745,1.0862068965517242,1.019047619047619,1.1314285714285715
4/8/20,1.0393374741200827,1.0709523809523809,1.12987012987013,1.0,1.1923076923076923,1.022950819672131,1.079243353783231,1.0,1.0,1.154040404040404
4/9/20,1.0737051792828685,1.1240551356158293,1.0919540229885059,1.1666666666666667,1.10752688172043,1.0993589743589745,1.1127427759355755,1.0,1.0186915887850467,1.12691466083151
4/10/20,1.0352504638218925,1.0886075949367089,1.3263157894736841,1.0,1.1359223300970873,1.1137026239067056,1.1153682418050235,1.0,1.0,1.0951456310679613
4/11/20,1.0340501792114696,1.0806686046511629,1.0873015873015872,1.1428571428571428,1.0085470085470085,1.0261780104712042,1.0530534351145038,1.0317460317460319,1.0275229357798166,1.099290780141844
4/12/20,1.0311958405545927,1.0874243443174176,1.1313868613138687,1.125,1.0593220338983051,1.0025510204081634,1.0753896339253353,1.0615384615384615,1.0089285714285714,1.0790322580645162
4/13/20,1.0285714285714285,1.051329622758194,1.0064516129032257,1.0,1.096,1.0101781170483461,1.0674081563869229,1.0579710144927537,1.0,1.0852017937219731
4/14/20,1.0098039215686274,1.0211764705882354,1.0705128205128205,1.0,1.0875912408759123,1.0251889168765742,1.0375749921060942,1.0,1.0,1.0550964187327823
4/15/20,1.0129449838187703,1.0293778801843319,1.0778443113772456,1.0,1.0671140939597314,1.0294840294840295,1.0998174071819842,1.7123287671232876,1.008849557522124,1.0626631853785902
4/16/20,1.02555910543131,1.049524342473419,1.0888888888888888,1.0,1.0314465408805031,1.0167064439140812,1.0390149418926398,1.144,1.0,1.058968058968059
4/17/20,1.0109034267912773,1.0706478272460678,1.0918367346938775,1.0,1.079268292682927,1.0375586854460095,1.0988015978695074,1.0,1.0,1.0707656612529002
4/18/20,1.0092449922958397,1.0483067729083666,1.0981308411214954,1.0,1.073446327683616,1.0339366515837105,1.0506543868153175,1.1398601398601398,1.0,1.0682556879739977
4/19/20,1.0076335877862594,1.0149643705463183,1.0936170212765957,1.1111111111111112,1.0578947368421052,1.0328227571115973,1.0795847750865053,1.0613496932515338,1.0,1.0496957403651115
4/20/20,1.003030303030303,1.0454013573601686,1.1245136186770428,1.0,1.0845771144278606,1.0105932203389831,1.0606837606837607,1.2890173410404624,1.0,1.0502415458937198
4/21/20,1.0105740181268883,1.0427580031340944,1.0173010380622838,1.0,1.0321100917431192,1.0356394129979036,1.016116035455278,1.0,1.0087719298245614,1.045998160073597
4/22/20,1.0179372197309418,1.0349935594675828,1.0748299319727892,1.0,1.0533333333333332,1.0323886639676114,1.0507533703409992,1.0448430493273542,1.0,1.0457343887423043
4/23/20,1.0073421439060206,1.0715619166148103,1.2151898734177216,1.1,1.0548523206751055,1.0176470588235293,1.0458490566037735,1.1030042918454936,1.0,1.0386879730866274
4/24/20,1.001457725947522,1.0332946186604723,1.1197916666666667,1.0,1.096,1.138728323699422,1.0371639906187984,1.1206225680933852,1.0,1.040485829959514
4/25/20,1.0087336244541485,1.0374672161858374,1.1,1.0909090909090908,1.0,1.0609137055837563,1.0307879631240215,1.0590277777777777,1.0,1.040466926070039
4/26/20,1.002886002886003,1.0435175153485012,1.0570824524312896,1.0833333333333333,1.0875912408759123,1.0,1.0352683091461357,1.1475409836065573,1.0,1.0239341810022438
4/27/20,1.0028776978417266,1.041875757051393,1.06,1.0,1.0838926174496644,1.0542264752791068,1.0257538712306438,1.04,1.008695652173913,1.014609203798393
4/28/20,1.011477761836442,1.0,1.0,1.0,1.068111455108359,1.0620272314674735,1.0195455267757827,1.0,1.0,1.0345572354211663
4/29/20,1.0113475177304965,1.059292476332835,1.0509433962264152,1.0,1.0927536231884059,1.0512820512820513,1.036783042394015,1.0879120879120878,1.0,1.0208768267223383
4/30/20,1.008415147265077,1.024145500156789,1.0754039497307002,1.0769230769230769,1.0477453580901857,1.0447154471544715,1.0481058328322308,1.0656565656565657,1.0,1.0231765507839128
5/1/20,1.0083449235048678,1.0287813839559095,1.0751252086811351,1.0,1.0734177215189873,1.0428015564202335,1.0453241537578888,1.0236966824644549,1.0,1.0239840106595604
5/2/20,1.0110344827586206,1.0550595238095237,1.0683229813664596,1.0,1.0518867924528301,1.256218905472637,1.0397914379802415,1.0717592592592593,1.0,1.048145738451529
5/3/20,1.0081855388813097,1.0,1.0218023255813953,1.0714285714285714,1.0986547085201794,1.0445544554455446,1.0496173132752704,1.0129589632829374,1.0,1.0235878336436997
5/4/20,1.0040595399188093,1.0150916784203103,1.038406827880512,1.0,1.1326530612244898,1.1165876777251185,1.0353281367865226,1.004264392324094,1.0,1.0115221346270467
5/5/20,1.017520215633423,1.0452966513825206,1.0452054794520549,1.0666666666666667,1.0576576576576577,1.0780984719864177,1.0297510625379478,1.0042462845010616,1.0,1.0101918465227817
5/6/20,1.0079470198675498,1.0276485444636447,1.0458715596330275,1.0,1.0783645655877343,1.1503937007874017,1.038561320754717,1.0105708245243128,1.0,1.0106824925816025
5/7/20,1.0052562417871223,1.0177208640538093,1.0426065162907268,1.0,1.0979462875197472,1.1533196440793976,1.0327012603610763,1.0209205020920502,1.0,1.015267175572519
5/8/20,1.0104575163398692,1.0256736146415861,1.0817307692307692,1.0,1.0676258992805756,1.0510385756676557,1.0308960967564595,1.0040983606557377,1.0,1.0069404279930596
5/9/20,1.0090556274256144,1.026270136307311,1.0744444444444445,1.0,1.0566037735849056,1.0333145115753812,1.0539675767918089,1.0,1.0,1.0074669730040207
5/10/20,1.0153846153846153,1.0200434677614103,1.0879007238883143,1.0,1.1339285714285714,1.0775956284153005,1.0470552519732848,1.0244897959183674,1.0,1.0068415051311288
